Date,Paid_search
04.02.2019,21
05.02.2019,23
06.02.2019,15
07.02.2019,27
08.02.2019,37
09.02.2019,21
10.02.2019,21
11.02.2019,29
12.02.2019,20
13.02.2019,35
14.02.2019,29
15.02.2019,28
16.02.2019,20
17.02.2019,32
18.02.2019,33
19.02.2019,44
20.02.2019,21
21.02.2019,20
22.02.2019,22
23.02.2019,19
24.02.2019,42
25.02.2019,15
26.02.2019,5
27.02.2019,44
28.02.2019,27
01.03.2019,34
02.03.2019,32
03.03.2019,31
04.03.2019,30
05.03.2019,40
06.03.2019,9
07.03.2019,42
08.03.2019,17
09.03.2019,16
10.03.2019,43
11.03.2019,25
12.03.2019,29
13.03.2019,24
14.03.2019,25
15.03.2019,22
16.03.2019,32
17.03.2019,37
18.03.2019,22
19.03.2019,32
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,88
28.03.2019,99
29.03.2019,148
30.03.2019,182
31.03.2019,111
01.04.2019,128
02.04.2019,119
03.04.2019,87
04.04.2019,121
05.04.2019,142
06.04.2019,134
07.04.2019,190
08.04.2019,180
09.04.2019,143
10.04.2019,132
11.04.2019,140
12.04.2019,120
13.04.2019,106
14.04.2019,119
15.04.2019,88
16.04.2019,99
17.04.2019,179
18.04.2019,202
19.04.2019,195
20.04.2019,315
21.04.2019,335
22.04.2019,254
23.04.2019,243
24.04.2019,208
25.04.2019,318
26.04.2019,256
27.04.2019,169
28.04.2019,164
29.04.2019,196
30.04.2019,150
01.05.2019,162
02.05.2019,171
03.05.2019,168
04.05.2019,198
05.05.2019,249
06.05.2019,201
07.05.2019,203
08.05.2019,223
09.05.2019,256
10.05.2019,312
11.05.2019,492
12.05.2019,357
13.05.2019,338
14.05.2019,373
15.05.2019,359
16.05.2019,319
17.05.2019,278
18.05.2019,556
19.05.2019,487
20.05.2019,443
21.05.2019,329
22.05.2019,287
23.05.2019,272
24.05.2019,263
25.05.2019,304
26.05.2019,290
27.05.2019,238
28.05.2019,217
29.05.2019,234
30.05.2019,266
31.05.2019,440
01.06.2019,381
02.06.2019,389
03.06.2019,446
04.06.2019,385
05.06.2019,425
06.06.2019,364
07.06.2019,363
08.06.2019,456
09.06.2019,549
10.06.2019,427
11.06.2019,345
12.06.2019,353
13.06.2019,384
14.06.2019,443
15.06.2019,415
16.06.2019,464
17.06.2019,452
18.06.2019,456
19.06.2019,361
20.06.2019,521
21.06.2019,547
22.06.2019,397
23.06.2019,464
24.06.2019,659
25.06.2019,531
26.06.2019,679
27.06.2019,496
28.06.2019,611
29.06.2019,880
30.06.2019,821
01.07.2019,426
02.07.2019,349
03.07.2019,263
04.07.2019,332
05.07.2019,340
06.07.2019,342
07.07.2019,378
08.07.2019,369
09.07.2019,503
10.07.2019,527
11.07.2019,505
12.07.2019,512
13.07.2019,684
14.07.2019,603
15.07.2019,587
16.07.2019,581
17.07.2019,568
18.07.2019,659
19.07.2019,459
20.07.2019,543
21.07.2019,477
22.07.2019,557
23.07.2019,536
24.07.2019,770
25.07.2019,759
26.07.2019,709
27.07.2019,699
28.07.2019,661
29.07.2019,769
30.07.2019,591
31.07.2019,379
01.08.2019,413
02.08.2019,519
03.08.2019,585
04.08.2019,455
05.08.2019,549
06.08.2019,416
07.08.2019,478
08.08.2019,432
09.08.2019,467
10.08.2019,515
11.08.2019,423
12.08.2019,361
13.08.2019,272
14.08.2019,331
15.08.2019,292
16.08.2019,342
17.08.2019,273
18.08.2019,314
19.08.2019,418
20.08.2019,374
21.08.2019,336
22.08.2019,352
23.08.2019,355
24.08.2019,251
25.08.2019,62
26.08.2019,40
27.08.2019,28
28.08.2019,14
29.08.2019,16
30.08.2019,13
31.08.2019,17
01.09.2019,18
02.09.2019,9
03.09.2019,113
04.09.2019,156
05.09.2019,165
06.09.2019,160
07.09.2019,361
08.09.2019,250
09.09.2019,126
10.09.2019,107
11.09.2019,131
12.09.2019,118
13.09.2019,215
14.09.2019,293
15.09.2019,101
16.09.2019,117
17.09.2019,97
18.09.2019,115
19.09.2019,117
20.09.2019,150
21.09.2019,291
22.09.2019,257
23.09.2019,99
24.09.2019,74
25.09.2019,92
26.09.2019,89
27.09.2019,98
28.09.2019,121
29.09.2019,88
30.09.2019,66
01.10.2019,68
02.10.2019,125
03.10.2019,96
04.10.2019,97
05.10.2019,123
06.10.2019,97
07.10.2019,72
08.10.2019,64
09.10.2019,80
10.10.2019,97
11.10.2019,81
12.10.2019,108
13.10.2019,102
14.10.2019,75
15.10.2019,99
16.10.2019,68
17.10.2019,79
18.10.2019,79
19.10.2019,87
20.10.2019,66
21.10.2019,50
22.10.2019,53
23.10.2019,40
24.10.2019,47
25.10.2019,68
26.10.2019,41
27.10.2019,61
28.10.2019,29
29.10.2019,60
30.10.2019,38
31.10.2019,32
01.11.2019,24
02.11.2019,27
03.11.2019,32
04.11.2019,29
05.11.2019,33
06.11.2019,37
07.11.2019,37
08.11.2019,38
09.11.2019,47
10.11.2019,29
11.11.2019,20
12.11.2019,32
13.11.2019,36
14.11.2019,36
15.11.2019,29
16.11.2019,22
17.11.2019,22
18.11.2019,39
19.11.2019,36
20.11.2019,36
21.11.2019,23
22.11.2019,22
23.11.2019,18
24.11.2019,25
25.11.2019,27
26.11.2019,29
27.11.2019,22
28.11.2019,36