Date,ENglish_US
04.02.2019,30
05.02.2019,11
06.02.2019,17
07.02.2019,21
08.02.2019,20
09.02.2019,20
10.02.2019,4
11.02.2019,32
12.02.2019,29
13.02.2019,40
14.02.2019,21
15.02.2019,21
16.02.2019,24
17.02.2019,22
18.02.2019,32
19.02.2019,25
20.02.2019,29
21.02.2019,36
22.02.2019,31
23.02.2019,18
24.02.2019,26
25.02.2019,36
26.02.2019,33
27.02.2019,23
28.02.2019,43
01.03.2019,35
02.03.2019,20
03.03.2019,22
04.03.2019,35
05.03.2019,27
06.03.2019,21
07.03.2019,35
08.03.2019,27
09.03.2019,29
10.03.2019,38
11.03.2019,37
12.03.2019,39
13.03.2019,23
14.03.2019,50
15.03.2019,38
16.03.2019,23
17.03.2019,27
18.03.2019,29
19.03.2019,51
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,89
28.03.2019,106
29.03.2019,124
30.03.2019,169
31.03.2019,86
01.04.2019,146
02.04.2019,140
03.04.2019,119
04.04.2019,162
05.04.2019,168
06.04.2019,194
07.04.2019,183
08.04.2019,171
09.04.2019,149
10.04.2019,92
11.04.2019,96
12.04.2019,98
13.04.2019,88
14.04.2019,88
15.04.2019,94
16.04.2019,104
17.04.2019,166
18.04.2019,265
19.04.2019,360
20.04.2019,336
21.04.2019,334
22.04.2019,250
23.04.2019,170
24.04.2019,163
25.04.2019,210
26.04.2019,275
27.04.2019,172
28.04.2019,172
29.04.2019,203
30.04.2019,205
01.05.2019,159
02.05.2019,143
03.05.2019,133
04.05.2019,138
05.05.2019,175
06.05.2019,170
07.05.2019,153
08.05.2019,161
09.05.2019,191
10.05.2019,187
11.05.2019,271
12.05.2019,183
13.05.2019,225
14.05.2019,177
15.05.2019,179
16.05.2019,235
17.05.2019,134
18.05.2019,310
19.05.2019,304
20.05.2019,281
21.05.2019,203
22.05.2019,184
23.05.2019,228
24.05.2019,217
25.05.2019,220
26.05.2019,171
27.05.2019,196
28.05.2019,186
29.05.2019,203
30.05.2019,160
31.05.2019,354
01.06.2019,286
02.06.2019,317
03.06.2019,302
04.06.2019,373
05.06.2019,415
06.06.2019,422
07.06.2019,270
08.06.2019,297
09.06.2019,325
10.06.2019,259
11.06.2019,365
12.06.2019,342
13.06.2019,376
14.06.2019,337
15.06.2019,238
16.06.2019,364
17.06.2019,413
18.06.2019,423
19.06.2019,388
20.06.2019,372
21.06.2019,381
22.06.2019,434
23.06.2019,346
24.06.2019,509
25.06.2019,498
26.06.2019,485
27.06.2019,387
28.06.2019,381
29.06.2019,446
30.06.2019,408
01.07.2019,258
02.07.2019,226
03.07.2019,201
04.07.2019,226
05.07.2019,264
06.07.2019,167
07.07.2019,208
08.07.2019,308
09.07.2019,377
10.07.2019,386
11.07.2019,443
12.07.2019,440
13.07.2019,361
14.07.2019,364
15.07.2019,320
16.07.2019,346
17.07.2019,397
18.07.2019,416
19.07.2019,362
20.07.2019,421
21.07.2019,265
22.07.2019,361
23.07.2019,531
24.07.2019,480
25.07.2019,488
26.07.2019,443
27.07.2019,356
28.07.2019,308
29.07.2019,364
30.07.2019,301
31.07.2019,250
01.08.2019,238
02.08.2019,364
03.08.2019,407
04.08.2019,309
05.08.2019,258
06.08.2019,268
07.08.2019,260
08.08.2019,211
09.08.2019,326
10.08.2019,281
11.08.2019,239
12.08.2019,241
13.08.2019,172
14.08.2019,217
15.08.2019,192
16.08.2019,200
17.08.2019,132
18.08.2019,179
19.08.2019,295
20.08.2019,299
21.08.2019,286
22.08.2019,291
23.08.2019,397
24.08.2019,408
25.08.2019,369
26.08.2019,330
27.08.2019,306
28.08.2019,256
29.08.2019,260
30.08.2019,286
31.08.2019,322
01.09.2019,201
02.09.2019,162
03.09.2019,139
04.09.2019,119
05.09.2019,127
06.09.2019,89
07.09.2019,219
08.09.2019,115
09.09.2019,104
10.09.2019,105
11.09.2019,108
12.09.2019,107
13.09.2019,164
14.09.2019,203
15.09.2019,90
16.09.2019,115
17.09.2019,74
18.09.2019,125
19.09.2019,120
20.09.2019,108
21.09.2019,195
22.09.2019,170
23.09.2019,68
24.09.2019,82
25.09.2019,82
26.09.2019,70
27.09.2019,80
28.09.2019,128
29.09.2019,72
30.09.2019,76
01.10.2019,76
02.10.2019,70
03.10.2019,64
04.10.2019,63
05.10.2019,80
06.10.2019,46
07.10.2019,55
08.10.2019,51
09.10.2019,72
10.10.2019,50
11.10.2019,59
12.10.2019,72
13.10.2019,56
14.10.2019,56
15.10.2019,56
16.10.2019,56
17.10.2019,46
18.10.2019,74
19.10.2019,73
20.10.2019,45
21.10.2019,46
22.10.2019,70
23.10.2019,45
24.10.2019,40
25.10.2019,84
26.10.2019,47
27.10.2019,47
28.10.2019,55
29.10.2019,58
30.10.2019,34
31.10.2019,62
01.11.2019,33
02.11.2019,22
03.11.2019,37
04.11.2019,38
05.11.2019,25
06.11.2019,26
07.11.2019,28
08.11.2019,44
09.11.2019,37
10.11.2019,16
11.11.2019,27
12.11.2019,32
13.11.2019,39
14.11.2019,38
15.11.2019,18
16.11.2019,21
17.11.2019,17
18.11.2019,17
19.11.2019,31
20.11.2019,19
21.11.2019,20
22.11.2019,28
23.11.2019,17
24.11.2019,27
25.11.2019,25
26.11.2019,28
27.11.2019,26