Date,News_Readers
04.02.2019,138
05.02.2019,86
06.02.2019,70
07.02.2019,118
08.02.2019,97
09.02.2019,54
10.02.2019,49
11.02.2019,112
12.02.2019,112
13.02.2019,163
14.02.2019,68
15.02.2019,129
16.02.2019,62
17.02.2019,84
18.02.2019,145
19.02.2019,158
20.02.2019,98
21.02.2019,135
22.02.2019,124
23.02.2019,64
24.02.2019,73
25.02.2019,152
26.02.2019,172
27.02.2019,166
28.02.2019,177
01.03.2019,87
02.03.2019,59
03.03.2019,85
04.03.2019,132
05.03.2019,90
06.03.2019,50
07.03.2019,119
08.03.2019,81
09.03.2019,68
10.03.2019,75
11.03.2019,165
12.03.2019,126
13.03.2019,122
14.03.2019,159
15.03.2019,116
16.03.2019,70
17.03.2019,79
18.03.2019,126
19.03.2019,203
27.03.2019,295
28.03.2019,319
29.03.2019,376
30.03.2019,406
31.03.2019,207
01.04.2019,469
02.04.2019,443
03.04.2019,301
04.04.2019,444
05.04.2019,443
06.04.2019,495
07.04.2019,459
08.04.2019,534
09.04.2019,475
10.04.2019,339
11.04.2019,330
12.04.2019,328
13.04.2019,270
14.04.2019,232
15.04.2019,385
16.04.2019,361
17.04.2019,475
18.04.2019,705
19.04.2019,892
20.04.2019,777
21.04.2019,825
22.04.2019,610
23.04.2019,608
24.04.2019,543
25.04.2019,716
26.04.2019,769
27.04.2019,378
28.04.2019,379
29.04.2019,588
30.04.2019,609
01.05.2019,545
02.05.2019,387
03.05.2019,427
04.05.2019,334
05.05.2019,334
06.05.2019,591
07.05.2019,511
08.05.2019,433
09.05.2019,526
10.05.2019,473
11.05.2019,644
12.05.2019,446
13.05.2019,718
14.05.2019,579
15.05.2019,783
16.05.2019,744
17.05.2019,446
18.05.2019,672
19.05.2019,875
20.05.2019,687
21.05.2019,564
22.05.2019,508
23.05.2019,625
24.05.2019,557
25.05.2019,425
26.05.2019,436
27.05.2019,624
28.05.2019,605
29.05.2019,538
30.05.2019,403
31.05.2019,906
01.06.2019,675
02.06.2019,624
03.06.2019,1.010
04.06.2019,1.043
05.06.2019,1.090
06.06.2019,891
07.06.2019,757
08.06.2019,614
09.06.2019,595
10.06.2019,627
11.06.2019,869
12.06.2019,989
13.06.2019,1.101
14.06.2019,988
15.06.2019,527
16.06.2019,775
17.06.2019,1.168
18.06.2019,1.113
19.06.2019,1.100
20.06.2019,1.059
21.06.2019,1.021
22.06.2019,1.032
23.06.2019,957
24.06.2019,1.487
25.06.2019,1.445
26.06.2019,1.139
27.06.2019,976
28.06.2019,1.102
29.06.2019,1.028
30.06.2019,865
01.07.2019,717
02.07.2019,582
03.07.2019,584
04.07.2019,669
05.07.2019,672
06.07.2019,424
07.07.2019,583
08.07.2019,822
09.07.2019,897
10.07.2019,1.029
11.07.2019,1.099
12.07.2019,1.126
13.07.2019,1.027
14.07.2019,912
15.07.2019,881
16.07.2019,919
17.07.2019,1.057
18.07.2019,1.181
19.07.2019,903
20.07.2019,948
21.07.2019,698
22.07.2019,964
23.07.2019,1.289
24.07.2019,1.339
25.07.2019,1.251
26.07.2019,1.137
27.07.2019,824
28.07.2019,763
29.07.2019,1.040
30.07.2019,933
31.07.2019,533
01.08.2019,586
02.08.2019,945
03.08.2019,775
04.08.2019,637
05.08.2019,754
06.08.2019,640
07.08.2019,672
08.08.2019,495
09.08.2019,636
10.08.2019,563
11.08.2019,441
12.08.2019,609
13.08.2019,379
14.08.2019,457
15.08.2019,441
16.08.2019,511
17.08.2019,350
18.08.2019,323
19.08.2019,534
20.08.2019,429
21.08.2019,553
22.08.2019,574
23.08.2019,964
24.08.2019,700
25.08.2019,629
26.08.2019,731
27.08.2019,560
28.08.2019,521
29.08.2019,499
30.08.2019,532
31.08.2019,452
01.09.2019,290
02.09.2019,280
03.09.2019,225
04.09.2019,213
05.09.2019,243
06.09.2019,244
07.09.2019,305
08.09.2019,220
09.09.2019,145
10.09.2019,146
11.09.2019,185
12.09.2019,145
13.09.2019,296
14.09.2019,307
15.09.2019,143
16.09.2019,180
17.09.2019,141
18.09.2019,146
19.09.2019,167
20.09.2019,183
21.09.2019,328
22.09.2019,262
23.09.2019,124
24.09.2019,109
25.09.2019,98
26.09.2019,108
27.09.2019,148
28.09.2019,140
29.09.2019,65
30.09.2019,61
01.10.2019,79
02.10.2019,164
03.10.2019,96
04.10.2019,115
05.10.2019,128
06.10.2019,109
07.10.2019,66
08.10.2019,122
09.10.2019,118
10.10.2019,122
11.10.2019,99
12.10.2019,124
13.10.2019,104
14.10.2019,85
15.10.2019,113
16.10.2019,80
17.10.2019,76
18.10.2019,88
19.10.2019,78
20.10.2019,53
21.10.2019,87
22.10.2019,71
23.10.2019,61
24.10.2019,63
25.10.2019,76
26.10.2019,34
27.10.2019,55
28.10.2019,67
29.10.2019,74
30.10.2019,51
31.10.2019,53
01.11.2019,52
03.11.2019,95
04.11.2019,23
05.11.2019,48
06.11.2019,45
07.11.2019,67
08.11.2019,50
09.11.2019,55
10.11.2019,30
11.11.2019,40
12.11.2019,46
13.11.2019,45
14.11.2019,57
16.11.2019,24
18.11.2019,42
19.11.2019,52
20.11.2019,30
21.11.2019,48
22.11.2019,53
23.11.2019,56
25.11.2019,39
26.11.2019,67
27.11.2019,46
28.11.2019,74