Date,Travel_Buffs
04.02.2019,90
05.02.2019,68
06.02.2019,35
07.02.2019,88
08.02.2019,59
09.02.2019,32
10.02.2019,21
11.02.2019,74
12.02.2019,88
13.02.2019,99
14.02.2019,49
15.02.2019,73
16.02.2019,39
17.02.2019,53
18.02.2019,89
19.02.2019,96
20.02.2019,68
21.02.2019,89
22.02.2019,74
23.02.2019,41
24.02.2019,47
25.02.2019,88
26.02.2019,113
27.02.2019,123
28.02.2019,104
01.03.2019,73
02.03.2019,36
03.03.2019,58
04.03.2019,73
05.03.2019,77
06.03.2019,26
07.03.2019,70
08.03.2019,56
09.03.2019,48
10.03.2019,65
11.03.2019,127
12.03.2019,85
13.03.2019,78
14.03.2019,110
15.03.2019,71
16.03.2019,53
17.03.2019,50
18.03.2019,93
19.03.2019,128
27.03.2019,179
28.03.2019,216
29.03.2019,249
30.03.2019,252
31.03.2019,157
01.04.2019,295
02.04.2019,259
03.04.2019,187
04.04.2019,283
05.04.2019,293
06.04.2019,337
07.04.2019,310
08.04.2019,358
09.04.2019,286
10.04.2019,220
11.04.2019,227
12.04.2019,188
13.04.2019,182
14.04.2019,119
15.04.2019,197
16.04.2019,229
17.04.2019,311
18.04.2019,438
19.04.2019,488
20.04.2019,551
21.04.2019,507
22.04.2019,408
23.04.2019,405
24.04.2019,343
25.04.2019,394
26.04.2019,477
27.04.2019,252
28.04.2019,263
29.04.2019,394
30.04.2019,421
01.05.2019,298
02.05.2019,252
03.05.2019,260
04.05.2019,239
05.05.2019,238
06.05.2019,376
07.05.2019,300
08.05.2019,238
09.05.2019,322
10.05.2019,282
11.05.2019,432
12.05.2019,259
13.05.2019,423
14.05.2019,380
15.05.2019,445
16.05.2019,409
17.05.2019,260
18.05.2019,406
19.05.2019,511
20.05.2019,499
21.05.2019,366
22.05.2019,322
23.05.2019,387
24.05.2019,341
25.05.2019,300
26.05.2019,302
27.05.2019,417
28.05.2019,382
29.05.2019,301
30.05.2019,276
31.05.2019,534
01.06.2019,406
02.06.2019,423
03.06.2019,640
04.06.2019,604
05.06.2019,698
06.06.2019,499
07.06.2019,460
08.06.2019,399
09.06.2019,391
10.06.2019,425
11.06.2019,592
12.06.2019,578
13.06.2019,650
14.06.2019,647
15.06.2019,317
16.06.2019,465
17.06.2019,725
18.06.2019,687
19.06.2019,707
20.06.2019,691
21.06.2019,661
22.06.2019,668
23.06.2019,598
24.06.2019,996
25.06.2019,922
26.06.2019,723
27.06.2019,610
28.06.2019,716
29.06.2019,735
30.06.2019,599
01.07.2019,415
02.07.2019,393
03.07.2019,356
04.07.2019,404
05.07.2019,444
06.07.2019,263
07.07.2019,423
08.07.2019,581
09.07.2019,676
10.07.2019,743
11.07.2019,796
12.07.2019,760
13.07.2019,669
14.07.2019,614
15.07.2019,668
16.07.2019,672
17.07.2019,675
18.07.2019,769
19.07.2019,637
20.07.2019,667
21.07.2019,506
22.07.2019,754
23.07.2019,896
24.07.2019,999
25.07.2019,916
26.07.2019,867
27.07.2019,629
28.07.2019,594
29.07.2019,786
30.07.2019,683
31.07.2019,470
01.08.2019,517
02.08.2019,746
03.08.2019,656
04.08.2019,593
05.08.2019,655
06.08.2019,554
07.08.2019,546
08.08.2019,442
09.08.2019,498
10.08.2019,497
11.08.2019,383
12.08.2019,486
13.08.2019,312
14.08.2019,373
15.08.2019,322
16.08.2019,418
17.08.2019,303
18.08.2019,242
19.08.2019,445
20.08.2019,375
21.08.2019,415
22.08.2019,472
23.08.2019,737
24.08.2019,599
25.08.2019,508
26.08.2019,536
27.08.2019,484
28.08.2019,399
29.08.2019,408
30.08.2019,441
31.08.2019,337
01.09.2019,295
02.09.2019,249
03.09.2019,225
04.09.2019,218
05.09.2019,192
06.09.2019,177
07.09.2019,278
08.09.2019,183
09.09.2019,150
10.09.2019,145
11.09.2019,158
12.09.2019,144
13.09.2019,218
14.09.2019,239
15.09.2019,132
16.09.2019,166
17.09.2019,119
18.09.2019,120
19.09.2019,156
20.09.2019,164
21.09.2019,227
22.09.2019,179
23.09.2019,126
24.09.2019,104
25.09.2019,103
26.09.2019,108
27.09.2019,130
28.09.2019,108
29.09.2019,60
30.09.2019,77
01.10.2019,84
02.10.2019,99
03.10.2019,109
04.10.2019,74
05.10.2019,91
06.10.2019,90
07.10.2019,49
08.10.2019,101
09.10.2019,77
10.10.2019,110
11.10.2019,75
12.10.2019,77
13.10.2019,87
14.10.2019,68
15.10.2019,88
16.10.2019,71
17.10.2019,56
18.10.2019,65
19.10.2019,56
20.10.2019,48
21.10.2019,69
22.10.2019,73
23.10.2019,62
24.10.2019,60
25.10.2019,83
26.10.2019,40
27.10.2019,56
28.10.2019,79
29.10.2019,52
30.10.2019,72
31.10.2019,38
01.11.2019,43
02.11.2019,14
03.11.2019,82
04.11.2019,53
05.11.2019,24
06.11.2019,35
07.11.2019,43
08.11.2019,47
09.11.2019,22
10.11.2019,22
11.11.2019,30
12.11.2019,44
13.11.2019,39
14.11.2019,50
15.11.2019,20
16.11.2019,19
17.11.2019,24
18.11.2019,40
19.11.2019,36
20.11.2019,43
21.11.2019,32
22.11.2019,45
23.11.2019,34
24.11.2019,29
25.11.2019,41
26.11.2019,40
27.11.2019,42